Designator,Mid X,Mid Y,Rotation,Layer
C1,134.239,-92.202,270.0,bottom
C2,147.955,-92.202,270.0,bottom
C3,132.715,-92.202,90.0,bottom
C4,146.431,-92.202,90.0,bottom
C5,130.556,-92.329,90.0,bottom
D1,137.668,-93.091,90.0,bottom
J1,140.730001,-85.979,90.0,top
J2,140.8,-96.95,0.0,top
Q1,140.208,-92.456,90.0,bottom
Q2,140.208,-97.536,90.0,bottom
R1,135.763,-92.202,270.0,bottom
R2,140.335,-94.996,180.0,bottom
R3,149.479,-92.202,270.0,bottom
R4,142.621,-95.25,270.0,bottom
R5,142.367,-98.298,270.0,bottom
R6,143.383,-92.202,90.0,bottom
R7,144.907,-92.202,270.0,bottom
U1,133.800499,-96.5,90.0,bottom
U2,146.939,-96.5,90.0,bottom
